epoch loss mae mse val_loss val_mae val_mse
0 0.07710498571395874 0.07710498571395874 0.021197332069277763 0.06954019516706467 0.06954019516706467 0.01676049269735813
1 0.07717162370681763 0.07717162370681763 0.021812360733747482 0.06340856850147247 0.06340856850147247 0.014790202490985394
2 0.06542952358722687 0.06542952358722687 0.016848184168338776 0.06859566271305084 0.06859566271305084 0.016693292185664177
3 0.06384605169296265 0.06384605169296265 0.0161578506231308 0.06056187301874161 0.06056187301874161 0.014112135395407677
4 0.062396757304668427 0.062396757304668427 0.015688316896557808 0.0694088414311409 0.0694088414311409 0.01698424108326435
5 0.06076439097523689 0.06076439097523689 0.015226074494421482 0.05607959255576134 0.05607959255576134 0.013173049315810204
6 0.06054060533642769 0.06054060533642769 0.014993688091635704 0.06137257441878319 0.06137257441878319 0.015395771712064743
7 0.05760174244642258 0.05760174244642258 0.0140664828941226 0.05218026041984558 0.05218026041984558 0.012039808556437492
8 0.054390184581279755 0.054390184581279755 0.013034520670771599 0.05197471007704735 0.05197471007704735 0.011539570055902004
9 0.05166764557361603 0.05166764557361603 0.0122061213478446 0.05108725279569626 0.05108725279569626 0.011379041709005833
10 0.050317633897066116 0.050317633897066116 0.011747404932975769 0.04791444540023804 0.04791444540023804 0.01083360519260168
11 0.04952209070324898 0.04952209070324898 0.011421341449022293 0.047852061688899994 0.047852061688899994 0.010343237780034542
12 0.04862002283334732 0.04862002283334732 0.011133459396660328 0.04788632318377495 0.04788632318377495 0.010293245315551758
13 0.04800837114453316 0.04800837114453316 0.010928919538855553 0.04715977981686592 0.04715977981686592 0.010007789358496666
14 0.047476112842559814 0.047476112842559814 0.010760584846138954 0.046275410801172256 0.046275410801172256 0.009797518141567707
15 0.0470268614590168 0.0470268614590168 0.01060640998184681 0.045508407056331635 0.045508407056331635 0.009586570784449577
16 0.04665832966566086 0.04665832966566086 0.010495711117982864 0.04563368111848831 0.04563368111848831 0.009603462181985378
17 0.046321604400873184 0.046321604400873184 0.010374718345701694 0.04533012956380844 0.04533012956380844 0.009490633383393288
18 0.046091314405202866 0.046091314405202866 0.010305419564247131 0.04554463550448418 0.04554463550448418 0.009737944230437279
19 0.045774172991514206 0.045774172991514206 0.010175895877182484 0.04440750181674957 0.04440750181674957 0.009263172745704651
20 0.04583890736103058 0.04583890736103058 0.01016343105584383 0.044861216098070145 0.044861216098070145 0.00934362318366766
21 0.04541953280568123 0.04541953280568123 0.010030177421867847 0.044329963624477386 0.044329963624477386 0.00926178228110075
22 0.04504018276929855 0.04504018276929855 0.00989552866667509 0.04406290873885155 0.04406290873885155 0.009108595550060272
23 0.04490170627832413 0.04490170627832413 0.00986388511955738 0.043949685990810394 0.043949685990810394 0.009106002748012543
24 0.04485353082418442 0.04485353082418442 0.00981117133051157 0.04410955682396889 0.04410955682396889 0.009033290669322014
25 0.04451414570212364 0.04451414570212364 0.009670650586485863 0.042712073773145676 0.042712073773145676 0.008934343233704567
